epoch_01: recon=0.476356 depth=0.969890 consist=0.106154
epoch_02: recon=0.248638 depth=0.585699 consist=0.073137
epoch_03: recon=0.238842 depth=0.566575 consist=0.020043
epoch_04: recon=0.238457 depth=0.564000 consist=0.007312
epoch_05: recon=0.233229 depth=0.563284 consist=0.003768
epoch_06: recon=0.233262 depth=0.563039 consist=0.003350
epoch_07: recon=0.231408 depth=0.562901 consist=0.005850
epoch_08: recon=0.230557 depth=0.562577 consist=0.016735
epoch_09: recon=0.228374 depth=0.561175 consist=0.057668
epoch_10: recon=0.226082 depth=0.558009 consist=0.165614
epoch_11: recon=0.224539 depth=0.556270 consist=0.251926
epoch_12: recon=0.222765 depth=0.554260 consist=0.286092
epoch_13: recon=0.221569 depth=0.553220 consist=0.280005
epoch_14: recon=0.220625 depth=0.552472 consist=0.254002
epoch_15: recon=0.219859 depth=0.551979 consist=0.231348
epoch_16: recon=0.219272 depth=0.551642 consist=0.218514
epoch_17: recon=0.218831 depth=0.551394 consist=0.213161
epoch_18: recon=0.218504 depth=0.551204 consist=0.212084
epoch_19: recon=0.218262 depth=0.551059 consist=0.212847
epoch_20: recon=0.218085 depth=0.550951 consist=0.214278
epoch_21: recon=0.217962 depth=0.550875 consist=0.215437
epoch_22: recon=0.217885 depth=0.550828 consist=0.216135
epoch_23: recon=0.217844 depth=0.550805 consist=0.216441
epoch_24: recon=0.217830 depth=0.550798 consist=0.216505
